method,use_morphology,seed,stage,eval_task,success_rate,return_mean,episode_length_mean
finetune,True,0,after_T1,T1,0.55,33.37973663978443,58.7
finetune,True,0,after_T3,T1,0.0,11.43050564158823,64.0
finetune,True,0,after_T3,T3,0.0,25.5522787360298,64.0
kl,True,0,after_T1,T1,0.55,33.37973663978443,58.7
kl,True,0,after_T3,T1,0.8,27.48658716177144,50.4
kl,True,0,after_T3,T3,0.0,23.878473550607442,64.0
multitask,True,0,after_joint,T1,0.15,31.572530288050906,59.6
multitask,True,0,after_joint,T3,0.0,9.525833674800051,64.0
reset,True,0,after_reset_T1,T1,0.55,33.37973663978443,58.7
reset,True,0,after_reset_T3,T3,0.65,30.102439475544013,54.55
finetune,False,0,after_T1,T1,0.2,33.905090409621835,57.3
finetune,False,0,after_T3,T1,0.0,14.08152821728821,64.0
finetune,False,0,after_T3,T3,0.05,36.83610582094918,63.8
kl,False,0,after_T1,T1,0.2,33.905090409621835,57.3
kl,False,0,after_T3,T1,0.2,38.2355012016907,62.3
kl,False,0,after_T3,T3,0.0,9.15778423084015,64.0
multitask,False,0,after_joint,T1,0.55,28.763322998972676,52.95
multitask,False,0,after_joint,T3,0.0,7.663578009007951,64.0
reset,False,0,after_reset_T1,T1,0.2,33.905090409621835,57.3
reset,False,0,after_reset_T3,T3,0.35,35.50908297242679,56.9
