method,use_morphology,stage,eval_task,success_mean,success_std,return_mean,return_std,seeds
finetune,False,after_T1,T1,0.2,0.0,33.905090409621835,0.0,1
finetune,False,after_T3,T1,0.0,0.0,14.08152821728821,0.0,1
finetune,False,after_T3,T3,0.05,0.0,36.83610582094918,0.0,1
finetune,True,after_T1,T1,0.55,0.0,33.37973663978443,0.0,1
finetune,True,after_T3,T1,0.0,0.0,11.43050564158823,0.0,1
finetune,True,after_T3,T3,0.0,0.0,25.5522787360298,0.0,1
kl,False,after_T1,T1,0.2,0.0,33.905090409621835,0.0,1
kl,False,after_T3,T1,0.2,0.0,38.2355012016907,0.0,1
kl,False,after_T3,T3,0.0,0.0,9.15778423084015,0.0,1
kl,True,after_T1,T1,0.55,0.0,33.37973663978443,0.0,1
kl,True,after_T3,T1,0.8,0.0,27.48658716177144,0.0,1
kl,True,after_T3,T3,0.0,0.0,23.87847355060744,0.0,1
multitask,False,after_joint,T1,0.55,0.0,28.76332299897268,0.0,1
multitask,False,after_joint,T3,0.0,0.0,7.663578009007951,0.0,1
multitask,True,after_joint,T1,0.15,0.0,31.572530288050903,0.0,1
multitask,True,after_joint,T3,0.0,0.0,9.525833674800053,0.0,1
reset,False,after_reset_T1,T1,0.2,0.0,33.905090409621835,0.0,1
reset,False,after_reset_T3,T3,0.35,0.0,35.50908297242679,0.0,1
reset,True,after_reset_T1,T1,0.55,0.0,33.37973663978443,0.0,1
reset,True,after_reset_T3,T3,0.65,0.0,30.102439475544013,0.0,1
