method,use_morphology,task,auc_mean,auc_std,time_to_first_mean,time_to_0_8_mean,seeds
finetune,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
finetune,False,T3,0.38965517251655973,0.1783647331614534,18.2,21.8,5
finetune,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
finetune,True,T3,0.5663793103448276,0.32301138606732116,12.4,16.8,5
kl,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
kl,False,T3,0.0,0.0,,,5
kl,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
kl,True,T3,0.5724137931034482,0.26102332231414566,13.2,16.4,5
multitask,False,joint,0.8047126437055654,0.0645885991750078,5.6,8.6,5
multitask,True,joint,0.8806896551929672,0.03321819195643101,6.2,9.8,5
reset,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
reset,False,T3,0.7540229885742582,0.1190640382385542,7.4,11.2,5
reset,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
reset,True,T3,0.8689655172413794,0.10739594139584444,4.2,7.4,5
single,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
single,False,T3,0.7540229885742582,0.1190640382385542,7.4,11.2,5
single,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
single,True,T3,0.8689655172413794,0.10739594139584444,4.2,7.4,5
