method,use_morphology,seed,stage,eval_task,success_rate,return_mean,episode_length_mean
multitask,False,0,after_joint,T1,1.0,16.866936505401174,24.625
multitask,False,0,after_joint,T3,0.0,0.03716760095657081,64.0
multitask,False,1,after_joint,T1,0.675,24.41495550525219,56.25
multitask,False,1,after_joint,T3,0.0,0.192636126885307,64.0
multitask,False,2,after_joint,T1,0.0,11.05636717649278,64.0
multitask,False,2,after_joint,T3,0.0,-0.14418579998984932,64.0
multitask,False,3,after_joint,T1,0.0,0.07659924578713254,64.0
multitask,False,3,after_joint,T3,1.0,19.201645524920213,35.2
multitask,False,4,after_joint,T1,0.0,10.69898842793302,64.0
multitask,False,4,after_joint,T3,0.0,0.11663670195260782,64.0
multitask,False,5,after_joint,T1,1.0,19.930765467098322,48.6
multitask,False,5,after_joint,T3,1.0,21.75841822887506,41.9
multitask,False,6,after_joint,T1,0.0,-0.31812274664302825,64.0
multitask,False,6,after_joint,T3,0.625,28.304793361988846,63.45
multitask,False,7,after_joint,T1,0.0,-0.1497584055811749,64.0
multitask,False,7,after_joint,T3,0.325,31.442929605153513,59.85
multitask,False,8,after_joint,T1,0.0,15.992130630441645,64.0
multitask,False,8,after_joint,T3,0.0,0.0053363278306787785,64.0
multitask,False,9,after_joint,T1,0.0,0.13666918522922789,64.0
multitask,False,9,after_joint,T3,0.625,23.072178592895163,58.875
multitask,True,0,after_joint,T1,1.0,23.06097233207118,43.35
multitask,True,0,after_joint,T3,0.7,26.290878667745126,50.675
multitask,True,1,after_joint,T1,1.0,23.045306691888484,46.45
multitask,True,1,after_joint,T3,1.0,22.92836960271176,42.425
multitask,True,2,after_joint,T1,1.0,20.075502374205364,34.8
multitask,True,2,after_joint,T3,1.0,22.73886580974168,44.2
multitask,True,3,after_joint,T1,0.0,0.11286908348114229,64.0
multitask,True,3,after_joint,T3,0.775,24.766301704537522,53.2
multitask,True,4,after_joint,T1,1.0,21.171397457839266,38.7
multitask,True,4,after_joint,T3,1.0,24.46351834979743,50.325
multitask,True,5,after_joint,T1,0.575,24.80645139185318,58.45
multitask,True,5,after_joint,T3,0.85,26.262451270385633,54.6
multitask,True,6,after_joint,T1,0.525,27.412739818885463,56.725
multitask,True,6,after_joint,T3,1.0,24.68054260458769,47.45
multitask,True,7,after_joint,T1,0.5,29.49102186600541,53.4
multitask,True,7,after_joint,T3,0.725,24.963506088575812,41.775
multitask,True,8,after_joint,T1,0.0,-0.26451731435710096,64.0
multitask,True,8,after_joint,T3,1.0,21.936095255630256,38.8
multitask,True,9,after_joint,T1,0.825,25.802436656888972,53.45
multitask,True,9,after_joint,T3,1.0,20.883952439754616,37.6
