method,use_morphology,task,auc_mean,auc_std,time_to_first_mean,time_to_0_8_mean,seeds
finetune,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
finetune,False,T2,1.0,0.0,1.0,1.0,5
finetune,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
finetune,True,T2,1.0,0.0,1.0,1.0,5
kl,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
kl,False,T2,1.0,0.0,1.0,1.0,5
kl,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
kl,True,T2,0.9908045978381717,0.02056154431429682,1.0,1.0,5
multitask,False,joint,0.8653735632526465,0.12277086568335294,6.8,10.4,5
multitask,True,joint,0.8247126436952886,0.0958237470922624,10.2,13.8,5
reset,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
reset,False,T2,0.7274220033966261,0.23555636329054408,7.4,12.0,5
reset,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
reset,True,T2,0.6995484402467465,0.23967103171683438,9.0,13.0,5
single,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
single,False,T2,0.7274220033966261,0.23555636329054408,7.4,12.0,5
single,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
single,True,T2,0.6995484402467465,0.23967103171683438,9.0,13.0,5
