method,use_morphology,seed,stage,eval_task,success_rate,return_mean,episode_length_mean
single,False,0,after_T1,T1,1.0,16.41788669459529,23.575
single,False,0,after_T2,T2,1.0,20.01090768358892,29.675
single,False,1,after_T1,T1,1.0,18.96245811455038,31.1
single,False,1,after_T2,T2,1.0,18.59467773774757,26.05
single,False,2,after_T1,T1,1.0,15.879712871014661,21.675
single,False,2,after_T2,T2,1.0,20.594846277565658,32.025
single,False,3,after_T1,T1,1.0,18.419404749972266,28.775
single,False,3,after_T2,T2,1.0,19.025874934710124,27.675
single,False,4,after_T1,T1,1.0,17.4263031918935,25.375
single,False,4,after_T2,T2,1.0,19.877727591545547,29.25
multitask,False,0,after_joint,T1,1.0,24.244511247743684,43.675
multitask,False,0,after_joint,T2,1.0,27.128476378390452,45.75
multitask,False,1,after_joint,T1,1.0,19.625066311194235,31.55
multitask,False,1,after_joint,T2,1.0,22.57126185110716,35.3
multitask,False,2,after_joint,T1,1.0,20.022958825745256,34.425
multitask,False,2,after_joint,T2,1.0,23.13531447475149,38.575
multitask,False,3,after_joint,T1,1.0,17.55315884459084,25.575
multitask,False,3,after_joint,T2,1.0,20.088561629191652,29.6
multitask,False,4,after_joint,T1,1.0,23.092131289283344,41.475
multitask,False,4,after_joint,T2,1.0,26.089423584737887,43.975
finetune,False,0,after_T1,T1,1.0,16.41788669459529,23.575
finetune,False,0,after_T2,T1,1.0,14.896467638497786,18.775
finetune,False,0,after_T2,T2,1.0,17.515201182599597,23.0
finetune,False,1,after_T1,T1,1.0,18.96245811455038,31.1
finetune,False,1,after_T2,T1,1.0,18.420983702924776,29.575
finetune,False,1,after_T2,T2,1.0,21.523901456574908,34.225
finetune,False,2,after_T1,T1,1.0,15.879712871014661,21.675
finetune,False,2,after_T2,T1,1.0,15.860424511351699,21.6
finetune,False,2,after_T2,T2,1.0,18.399820672044463,25.7
finetune,False,3,after_T1,T1,1.0,18.419404749972266,28.775
finetune,False,3,after_T2,T1,1.0,16.223952313838822,22.075
finetune,False,3,after_T2,T2,1.0,18.719398491342623,26.175
finetune,False,4,after_T1,T1,1.0,17.4263031918935,25.375
finetune,False,4,after_T2,T1,1.0,17.498544232712174,25.3
finetune,False,4,after_T2,T2,1.0,19.988362573534246,29.175
kl,False,0,after_T1,T1,1.0,16.41788669459529,23.575
kl,False,0,after_T2,T1,1.0,16.13777266274052,22.775
kl,False,0,after_T2,T2,1.0,18.92963964894998,27.35
kl,False,1,after_T1,T1,1.0,18.96245811455038,31.1
kl,False,1,after_T2,T1,1.0,19.154988427156134,31.65
kl,False,1,after_T2,T2,1.0,22.479145212239626,36.75
kl,False,2,after_T1,T1,1.0,15.879712871014661,21.675
kl,False,2,after_T2,T1,1.0,15.916904355071347,21.475
kl,False,2,after_T2,T2,1.0,18.479064487228346,25.65
kl,False,3,after_T1,T1,1.0,18.419404749972266,28.775
kl,False,3,after_T2,T1,1.0,18.134082703433933,28.15
kl,False,3,after_T2,T2,1.0,20.96484600974432,32.975
kl,False,4,after_T1,T1,1.0,17.4263031918935,25.375
kl,False,4,after_T2,T1,1.0,17.72901670486585,25.675
kl,False,4,after_T2,T2,1.0,20.19058045416154,29.8
reset,False,0,after_reset_T1,T1,1.0,16.41788669459529,23.575
reset,False,0,after_reset_T2,T2,1.0,20.01090768358892,29.675
reset,False,1,after_reset_T1,T1,1.0,18.96245811455038,31.1
reset,False,1,after_reset_T2,T2,1.0,18.59467773774757,26.05
reset,False,2,after_reset_T1,T1,1.0,15.879712871014661,21.675
reset,False,2,after_reset_T2,T2,1.0,20.594846277565658,32.025
reset,False,3,after_reset_T1,T1,1.0,18.419404749972266,28.775
reset,False,3,after_reset_T2,T2,1.0,19.025874934710124,27.675
reset,False,4,after_reset_T1,T1,1.0,17.4263031918935,25.375
reset,False,4,after_reset_T2,T2,1.0,19.877727591545547,29.25
single,True,0,after_T1,T1,1.0,17.0891645587514,25.675
single,True,0,after_T2,T2,1.0,19.566137783072612,28.7
single,True,1,after_T1,T1,1.0,15.447346012452329,20.2
single,True,1,after_T2,T2,1.0,19.48033181015923,28.175
single,True,2,after_T1,T1,1.0,16.312189069376124,22.65
single,True,2,after_T2,T2,1.0,21.49227689871922,34.625
single,True,3,after_T1,T1,1.0,18.37920122282116,28.5
single,True,3,after_T2,T2,1.0,18.83926134974262,26.525
single,True,4,after_T1,T1,1.0,17.5549373915793,26.425
single,True,4,after_T2,T2,1.0,18.963067638433063,27.25
multitask,True,0,after_joint,T1,1.0,17.219386661538394,25.625
multitask,True,0,after_joint,T2,1.0,20.712699106107596,32.6
multitask,True,1,after_joint,T1,1.0,18.899252006832533,31.125
multitask,True,1,after_joint,T2,1.0,21.55591651285879,34.55
multitask,True,2,after_joint,T1,1.0,17.37225062709886,25.375
multitask,True,2,after_joint,T2,1.0,20.63429550621611,31.325
multitask,True,3,after_joint,T1,1.0,15.962209530256441,21.95
multitask,True,3,after_joint,T2,1.0,18.938277316172837,27.65
multitask,True,4,after_joint,T1,1.0,24.181035502994654,48.575
multitask,True,4,after_joint,T2,1.0,26.110131874939572,46.475
finetune,True,0,after_T1,T1,1.0,17.0891645587514,25.675
finetune,True,0,after_T2,T1,1.0,16.390788742274008,23.775
finetune,True,0,after_T2,T2,1.0,20.287749277096502,31.775
finetune,True,1,after_T1,T1,1.0,15.447346012452329,20.2
finetune,True,1,after_T2,T1,1.0,16.008707102623806,22.4
finetune,True,1,after_T2,T2,1.0,18.622292911017702,26.625
finetune,True,2,after_T1,T1,1.0,16.312189069376124,22.65
finetune,True,2,after_T2,T1,1.0,17.92374800673165,27.875
finetune,True,2,after_T2,T2,1.0,21.111887550921157,33.0
finetune,True,3,after_T1,T1,1.0,18.37920122282116,28.5
finetune,True,3,after_T2,T1,1.0,16.299040883570093,22.825
finetune,True,3,after_T2,T2,1.0,18.540008172470785,26.35
finetune,True,4,after_T1,T1,1.0,17.5549373915793,26.425
finetune,True,4,after_T2,T1,1.0,17.26301845907239,25.1
finetune,True,4,after_T2,T2,1.0,20.93084759686161,32.5
kl,True,0,after_T1,T1,1.0,17.0891645587514,25.675
kl,True,0,after_T2,T1,1.0,16.92180379472407,24.975
kl,True,0,after_T2,T2,1.0,20.241974017015995,31.525
kl,True,1,after_T1,T1,1.0,15.447346012452329,20.2
kl,True,1,after_T2,T1,1.0,15.569567045070391,20.55
kl,True,1,after_T2,T2,1.0,17.931676867141878,24.125
kl,True,2,after_T1,T1,1.0,16.312189069376124,22.65
kl,True,2,after_T2,T1,1.0,16.247706628964146,22.4
kl,True,2,after_T2,T2,1.0,19.180553059075798,27.975
kl,True,3,after_T1,T1,1.0,18.37920122282116,28.5
kl,True,3,after_T2,T1,1.0,18.537951050584997,28.825
kl,True,3,after_T2,T2,1.0,20.839596216974492,32.45
kl,True,4,after_T1,T1,1.0,17.5549373915793,26.425
kl,True,4,after_T2,T1,1.0,17.635634359887842,26.675
kl,True,4,after_T2,T2,1.0,21.762087307173623,34.325
reset,True,0,after_reset_T1,T1,1.0,17.0891645587514,25.675
reset,True,0,after_reset_T2,T2,1.0,19.566137783072612,28.7
reset,True,1,after_reset_T1,T1,1.0,15.447346012452329,20.2
reset,True,1,after_reset_T2,T2,1.0,19.48033181015923,28.175
reset,True,2,after_reset_T1,T1,1.0,16.312189069376124,22.65
reset,True,2,after_reset_T2,T2,1.0,21.49227689871922,34.625
reset,True,3,after_reset_T1,T1,1.0,18.37920122282116,28.5
reset,True,3,after_reset_T2,T2,1.0,18.83926134974262,26.525
reset,True,4,after_reset_T1,T1,1.0,17.5549373915793,26.425
reset,True,4,after_reset_T2,T2,1.0,18.963067638433063,27.25
