method,use_morphology,stage,eval_task,success_mean,success_std,return_mean,return_std,seeds
finetune,False,after_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
finetune,False,after_T2,T1,1.0,0.0,16.580074479865054,1.3885049986457156,5
finetune,False,after_T2,T2,1.0,0.0,19.22933687521917,1.5594503910117912,5
finetune,True,after_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
finetune,True,after_T2,T1,1.0,0.0,16.77706063885439,0.7935872579383153,5
finetune,True,after_T2,T2,1.0,0.0,19.898557101673553,1.2413470981484058,5
kl,False,after_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
kl,False,after_T2,T1,1.0,0.0,17.414552970653556,1.371025654863073,5
kl,False,after_T2,T2,1.0,0.0,20.20865516246476,1.6089313958643892,5
kl,True,after_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
kl,True,after_T2,T1,1.0,0.0,16.98253257584629,1.1603875775043235,5
kl,True,after_T2,T2,1.0,0.0,19.991177493476357,1.4847129014030267,5
multitask,False,after_joint,T1,1.0,0.0,20.907565303711472,2.7196926185861696,5
multitask,False,after_joint,T2,1.0,0.0,23.802607583635726,2.830484076122106,5
multitask,True,after_joint,T1,1.0,0.0,18.726826865744176,3.2221298877906377,5
multitask,True,after_joint,T2,1.0,0.0,21.59026406325898,2.6994172811960744,5
reset,False,after_reset_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
reset,False,after_reset_T2,T2,1.0,0.0,19.620806845031563,0.8021571967354573,5
reset,True,after_reset_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
reset,True,after_reset_T2,T2,1.0,0.0,19.66821509602535,1.0673938609294296,5
single,False,after_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
single,False,after_T2,T2,1.0,0.0,19.620806845031563,0.8021571967354573,5
single,True,after_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
single,True,after_T2,T2,1.0,0.0,19.66821509602535,1.0673938609294296,5
