method,use_morphology,task,auc_mean,auc_std,time_to_first_mean,time_to_0_8_mean,seeds
finetune,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
finetune,False,T2,1.0,0.0,1.0,1.0,5
finetune,False,T3,0.10558292300536713,0.1576884830866101,23.666666666666668,22.0,5
finetune,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
finetune,True,T2,1.0,0.0,1.0,1.0,5
finetune,True,T3,0.3413793103448276,0.44501466261298284,12.666666666666666,7.0,5
kl,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
kl,False,T2,1.0,0.0,1.0,1.0,5
kl,False,T3,0.0,0.0,,,5
kl,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
kl,True,T2,0.9908045978381717,0.02056154431429682,1.0,1.0,5
kl,True,T3,0.42253694585685075,0.4159427836383512,11.75,11.0,5
multitask,False,joint,0.7884099617086608,0.1621762357615128,5.2,9.2,5
multitask,True,joint,0.8584564860867359,0.05997535536430344,5.4,8.6,5
reset,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
reset,False,T2,0.7274220033966261,0.23555636329054408,7.4,12.0,5
reset,False,T3,0.8,0.13663181211144107,6.2,9.8,5
reset,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
reset,True,T2,0.6995484402467465,0.23967103171683438,9.0,13.0,5
reset,True,T3,0.9103448275862069,0.11066763128193946,3.4,5.4,5
single,False,T1,0.7672413793103449,0.2738341409356653,7.0,10.2,5
single,False,T2,0.7274220033966261,0.23555636329054408,7.4,12.0,5
single,False,T3,0.8,0.13663181211144107,6.2,9.8,5
single,True,T1,0.6596059113740921,0.19982945482113038,10.4,14.0,5
single,True,T2,0.6995484402467465,0.23967103171683438,9.0,13.0,5
single,True,T3,0.9103448275862069,0.11066763128193946,3.4,5.4,5
