method,use_morphology,seed,stage,eval_task,success_rate,return_mean,episode_length_mean
single,False,0,after_T1,T1,1.0,16.41788669459529,23.575
single,False,0,after_T2,T2,1.0,20.01090768358892,29.675
single,False,0,after_T3,T3,1.0,17.187180325195047,24.4
single,False,1,after_T1,T1,1.0,18.96245811455038,31.1
single,False,1,after_T2,T2,1.0,18.59467773774757,26.05
single,False,1,after_T3,T3,1.0,15.026931293616917,19.075
single,False,2,after_T1,T1,1.0,15.879712871014661,21.675
single,False,2,after_T2,T2,1.0,20.594846277565658,32.025
single,False,2,after_T3,T3,1.0,18.908488162730663,29.55
single,False,3,after_T1,T1,1.0,18.419404749972266,28.775
single,False,3,after_T2,T2,1.0,19.025874934710124,27.675
single,False,3,after_T3,T3,1.0,16.70726894033165,23.225
single,False,4,after_T1,T1,1.0,17.4263031918935,25.375
single,False,4,after_T2,T2,1.0,19.877727591545547,29.25
single,False,4,after_T3,T3,1.0,15.610093200073525,20.825
multitask,False,0,after_joint,T1,1.0,15.729429467604337,20.825
multitask,False,0,after_joint,T2,1.0,18.25317586149368,24.875
multitask,False,0,after_joint,T3,0.0,-0.27294801104947697,64.0
multitask,False,1,after_joint,T1,0.975,25.540669733874427,48.325
multitask,False,1,after_joint,T2,1.0,27.37471682619672,47.05
multitask,False,1,after_joint,T3,0.0,-0.3552780131822801,64.0
multitask,False,2,after_joint,T1,1.0,25.71954066744123,49.35
multitask,False,2,after_joint,T2,1.0,29.94638035293395,53.675
multitask,False,2,after_joint,T3,0.0,0.0594896368412301,64.0
multitask,False,3,after_joint,T1,0.0,-0.05437563452601899,64.0
multitask,False,3,after_joint,T2,0.0,-0.05446755918726558,64.0
multitask,False,3,after_joint,T3,0.35,17.617238914664835,62.65
multitask,False,4,after_joint,T1,0.475,30.746971721031468,57.175
multitask,False,4,after_joint,T2,1.0,29.655454997889443,51.25
multitask,False,4,after_joint,T3,0.0,-0.04085687204642455,64.0
finetune,False,0,after_T1,T1,1.0,16.41788669459529,23.575
finetune,False,0,after_T2,T1,1.0,14.896467638497786,18.775
finetune,False,0,after_T2,T2,1.0,17.515201182599597,23.0
finetune,False,0,after_T3,T1,1.0,17.93312701881262,27.875
finetune,False,0,after_T3,T2,1.0,20.838182154911856,32.6
finetune,False,0,after_T3,T3,0.0,-0.013757745755719947,64.0
finetune,False,1,after_T1,T1,1.0,18.96245811455038,31.1
finetune,False,1,after_T2,T1,1.0,18.420983702924776,29.575
finetune,False,1,after_T2,T2,1.0,21.523901456574908,34.225
finetune,False,1,after_T3,T1,1.0,19.690083658488795,34.125
finetune,False,1,after_T3,T2,1.0,22.996857885293586,38.8
finetune,False,1,after_T3,T3,0.0,-0.18230815994367008,64.0
finetune,False,2,after_T1,T1,1.0,15.879712871014661,21.675
finetune,False,2,after_T2,T1,1.0,15.860424511351699,21.6
finetune,False,2,after_T2,T2,1.0,18.399820672044463,25.7
finetune,False,2,after_T3,T1,0.0,-0.40051513587552473,64.0
finetune,False,2,after_T3,T2,0.0,-0.41639483015352735,64.0
finetune,False,2,after_T3,T3,0.75,20.678420118748637,51.225
finetune,False,3,after_T1,T1,1.0,18.419404749972266,28.775
finetune,False,3,after_T2,T1,1.0,16.223952313838822,22.075
finetune,False,3,after_T2,T2,1.0,18.719398491342623,26.175
finetune,False,3,after_T3,T1,0.0,0.04730059473565778,64.0
finetune,False,3,after_T3,T2,0.0,0.03421437017794235,64.0
finetune,False,3,after_T3,T3,0.575,20.162119499475565,53.8
finetune,False,4,after_T1,T1,1.0,17.4263031918935,25.375
finetune,False,4,after_T2,T1,1.0,17.498544232712174,25.3
finetune,False,4,after_T2,T2,1.0,19.988362573534246,29.175
finetune,False,4,after_T3,T1,0.0,-0.147377947118599,64.0
finetune,False,4,after_T3,T2,0.0,-0.1575539522329928,64.0
finetune,False,4,after_T3,T3,1.0,17.04642789449364,26.725
kl,False,0,after_T1,T1,1.0,16.41788669459529,23.575
kl,False,0,after_T2,T1,1.0,16.13777266274052,22.775
kl,False,0,after_T2,T2,1.0,18.92963964894998,27.35
kl,False,0,after_T3,T1,1.0,16.303071901190773,23.3
kl,False,0,after_T3,T2,1.0,19.066539004792396,27.95
kl,False,0,after_T3,T3,0.0,0.001109497236029703,64.0
kl,False,1,after_T1,T1,1.0,18.96245811455038,31.1
kl,False,1,after_T2,T1,1.0,19.154988427156134,31.65
kl,False,1,after_T2,T2,1.0,22.479145212239626,36.75
kl,False,1,after_T3,T1,1.0,18.956180244483825,30.575
kl,False,1,after_T3,T2,1.0,21.962104649251806,35.4
kl,False,1,after_T3,T3,0.0,0.026402803194243464,64.0
kl,False,2,after_T1,T1,1.0,15.879712871014661,21.675
kl,False,2,after_T2,T1,1.0,15.916904355071347,21.475
kl,False,2,after_T2,T2,1.0,18.479064487228346,25.65
kl,False,2,after_T3,T1,1.0,15.911237917966105,21.95
kl,False,2,after_T3,T2,1.0,18.653594608982452,26.325
kl,False,2,after_T3,T3,0.0,-0.13140541579452114,64.0
kl,False,3,after_T1,T1,1.0,18.419404749972266,28.775
kl,False,3,after_T2,T1,1.0,18.134082703433933,28.15
kl,False,3,after_T2,T2,1.0,20.96484600974432,32.975
kl,False,3,after_T3,T1,1.0,19.59500121673517,33.7
kl,False,3,after_T3,T2,1.0,22.958070662881745,39.625
kl,False,3,after_T3,T3,0.0,0.17688692303164863,64.0
kl,False,4,after_T1,T1,1.0,17.4263031918935,25.375
kl,False,4,after_T2,T1,1.0,17.72901670486585,25.675
kl,False,4,after_T2,T2,1.0,20.19058045416154,29.8
kl,False,4,after_T3,T1,1.0,17.740844862451244,25.9
kl,False,4,after_T3,T2,1.0,20.114598319586307,30.05
kl,False,4,after_T3,T3,0.0,0.05661911144101759,64.0
reset,False,0,after_reset_T1,T1,1.0,16.41788669459529,23.575
reset,False,0,after_reset_T2,T2,1.0,20.01090768358892,29.675
reset,False,0,after_reset_T3,T3,1.0,17.187180325195047,24.4
reset,False,1,after_reset_T1,T1,1.0,18.96245811455038,31.1
reset,False,1,after_reset_T2,T2,1.0,18.59467773774757,26.05
reset,False,1,after_reset_T3,T3,1.0,15.026931293616917,19.075
reset,False,2,after_reset_T1,T1,1.0,15.879712871014661,21.675
reset,False,2,after_reset_T2,T2,1.0,20.594846277565658,32.025
reset,False,2,after_reset_T3,T3,1.0,18.908488162730663,29.55
reset,False,3,after_reset_T1,T1,1.0,18.419404749972266,28.775
reset,False,3,after_reset_T2,T2,1.0,19.025874934710124,27.675
reset,False,3,after_reset_T3,T3,1.0,16.70726894033165,23.225
reset,False,4,after_reset_T1,T1,1.0,17.4263031918935,25.375
reset,False,4,after_reset_T2,T2,1.0,19.877727591545547,29.25
reset,False,4,after_reset_T3,T3,1.0,15.610093200073525,20.825
single,True,0,after_T1,T1,1.0,17.0891645587514,25.675
single,True,0,after_T2,T2,1.0,19.566137783072612,28.7
single,True,0,after_T3,T3,1.0,15.841289364101346,21.375
single,True,1,after_T1,T1,1.0,15.447346012452329,20.2
single,True,1,after_T2,T2,1.0,19.48033181015923,28.175
single,True,1,after_T3,T3,1.0,15.148971922866334,19.825
single,True,2,after_T1,T1,1.0,16.312189069376124,22.65
single,True,2,after_T2,T2,1.0,21.49227689871922,34.625
single,True,2,after_T3,T3,1.0,15.22318680992995,19.55
single,True,3,after_T1,T1,1.0,18.37920122282116,28.5
single,True,3,after_T2,T2,1.0,18.83926134974262,26.525
single,True,3,after_T3,T3,1.0,15.858037011470946,21.4
single,True,4,after_T1,T1,1.0,17.5549373915793,26.425
single,True,4,after_T2,T2,1.0,18.963067638433063,27.25
single,True,4,after_T3,T3,1.0,15.475045911074428,20.5
multitask,True,0,after_joint,T1,1.0,19.683695295800664,33.775
multitask,True,0,after_joint,T2,1.0,22.443545259297753,36.825
multitask,True,0,after_joint,T3,0.975,26.1170443384647,53.275
multitask,True,1,after_joint,T1,1.0,21.86169505513979,40.225
multitask,True,1,after_joint,T2,1.0,25.3071970823181,44.2
multitask,True,1,after_joint,T3,0.925,24.562728808873253,48.525
multitask,True,2,after_joint,T1,0.75,25.70640786213541,47.725
multitask,True,2,after_joint,T2,0.625,29.35551010505509,54.175
multitask,True,2,after_joint,T3,0.975,25.995548124498157,49.175
multitask,True,3,after_joint,T1,0.0,-0.20228133615851407,64.0
multitask,True,3,after_joint,T2,0.0,-0.217375330850482,64.0
multitask,True,3,after_joint,T3,0.7,24.355781269128276,49.15
multitask,True,4,after_joint,T1,1.0,15.627309040624676,20.825
multitask,True,4,after_joint,T2,1.0,18.338348780286566,25.825
multitask,True,4,after_joint,T3,1.0,19.94901520449732,34.95
finetune,True,0,after_T1,T1,1.0,17.0891645587514,25.675
finetune,True,0,after_T2,T1,1.0,16.390788742274008,23.775
finetune,True,0,after_T2,T2,1.0,20.287749277096502,31.775
finetune,True,0,after_T3,T1,0.0,17.092975206349575,64.0
finetune,True,0,after_T3,T2,0.0,7.7851776073173395,64.0
finetune,True,0,after_T3,T3,0.0,9.659221566222888,64.0
finetune,True,1,after_T1,T1,1.0,15.447346012452329,20.2
finetune,True,1,after_T2,T1,1.0,16.008707102623806,22.4
finetune,True,1,after_T2,T2,1.0,18.622292911017702,26.625
finetune,True,1,after_T3,T1,1.0,15.729347480637582,21.825
finetune,True,1,after_T3,T2,1.0,18.679252394327182,27.05
finetune,True,1,after_T3,T3,1.0,22.077292579281163,40.05
finetune,True,2,after_T1,T1,1.0,16.312189069376124,22.65
finetune,True,2,after_T2,T1,1.0,17.92374800673165,27.875
finetune,True,2,after_T2,T2,1.0,21.111887550921157,33.0
finetune,True,2,after_T3,T1,0.0,17.871735147289563,64.0
finetune,True,2,after_T3,T2,0.0,13.158098719268628,64.0
finetune,True,2,after_T3,T3,0.1,25.998871682078715,64.0
finetune,True,3,after_T1,T1,1.0,18.37920122282116,28.5
finetune,True,3,after_T2,T1,1.0,16.299040883570093,22.825
finetune,True,3,after_T2,T2,1.0,18.540008172470785,26.35
finetune,True,3,after_T3,T1,1.0,16.782045920967995,23.75
finetune,True,3,after_T3,T2,1.0,18.908209283245878,26.85
finetune,True,3,after_T3,T3,1.0,19.1047026738331,30.975
finetune,True,4,after_T1,T1,1.0,17.5549373915793,26.425
finetune,True,4,after_T2,T1,1.0,17.26301845907239,25.1
finetune,True,4,after_T2,T2,1.0,20.93084759686161,32.5
finetune,True,4,after_T3,T1,1.0,16.70091595684351,23.625
finetune,True,4,after_T3,T2,1.0,19.984396401967476,30.275
finetune,True,4,after_T3,T3,1.0,22.92278370974389,44.15
kl,True,0,after_T1,T1,1.0,17.0891645587514,25.675
kl,True,0,after_T2,T1,1.0,16.92180379472407,24.975
kl,True,0,after_T2,T2,1.0,20.241974017015995,31.525
kl,True,0,after_T3,T1,1.0,17.340221597087478,26.65
kl,True,0,after_T3,T2,1.0,20.404640403756797,32.175
kl,True,0,after_T3,T3,0.65,25.0992366423328,59.825
kl,True,1,after_T1,T1,1.0,15.447346012452329,20.2
kl,True,1,after_T2,T1,1.0,15.569567045070391,20.55
kl,True,1,after_T2,T2,1.0,17.931676867141878,24.125
kl,True,1,after_T3,T1,1.0,15.481061554146606,20.175
kl,True,1,after_T3,T2,1.0,17.81106400852775,23.95
kl,True,1,after_T3,T3,1.0,19.409691965774847,32.375
kl,True,2,after_T1,T1,1.0,16.312189069376124,22.65
kl,True,2,after_T2,T1,1.0,16.247706628964146,22.4
kl,True,2,after_T2,T2,1.0,19.180553059075798,27.975
kl,True,2,after_T3,T1,1.0,16.10035787923759,22.175
kl,True,2,after_T3,T2,1.0,19.253860859179603,28.15
kl,True,2,after_T3,T3,1.0,21.662267000363364,39.225
kl,True,3,after_T1,T1,1.0,18.37920122282116,28.5
kl,True,3,after_T2,T1,1.0,18.537951050584997,28.825
kl,True,3,after_T2,T2,1.0,20.839596216974492,32.45
kl,True,3,after_T3,T1,1.0,18.598929835555406,28.85
kl,True,3,after_T3,T2,1.0,20.960732696692993,32.8
kl,True,3,after_T3,T3,1.0,23.077767105487418,44.95
kl,True,4,after_T1,T1,1.0,17.5549373915793,26.425
kl,True,4,after_T2,T1,1.0,17.635634359887842,26.675
kl,True,4,after_T2,T2,1.0,21.762087307173623,34.325
kl,True,4,after_T3,T1,1.0,17.48170304315439,26.1
kl,True,4,after_T3,T2,1.0,21.626391135529055,34.15
kl,True,4,after_T3,T3,1.0,21.610721174988214,40.125
reset,True,0,after_reset_T1,T1,1.0,17.0891645587514,25.675
reset,True,0,after_reset_T2,T2,1.0,19.566137783072612,28.7
reset,True,0,after_reset_T3,T3,1.0,15.841289364101346,21.375
reset,True,1,after_reset_T1,T1,1.0,15.447346012452329,20.2
reset,True,1,after_reset_T2,T2,1.0,19.48033181015923,28.175
reset,True,1,after_reset_T3,T3,1.0,15.148971922866334,19.825
reset,True,2,after_reset_T1,T1,1.0,16.312189069376124,22.65
reset,True,2,after_reset_T2,T2,1.0,21.49227689871922,34.625
reset,True,2,after_reset_T3,T3,1.0,15.22318680992995,19.55
reset,True,3,after_reset_T1,T1,1.0,18.37920122282116,28.5
reset,True,3,after_reset_T2,T2,1.0,18.83926134974262,26.525
reset,True,3,after_reset_T3,T3,1.0,15.858037011470946,21.4
reset,True,4,after_reset_T1,T1,1.0,17.5549373915793,26.425
reset,True,4,after_reset_T2,T2,1.0,18.963067638433063,27.25
reset,True,4,after_reset_T3,T3,1.0,15.475045911074428,20.5
