method,use_morphology,seed,task,global_step,update,episodic_return,episodic_success,policy_loss,value_loss,entropy,approx_kl,clipfrac,distill_kl,distill_std_kl
single,True,0,T1,1024,1,1.7000460624694824,0.0,0.007713053375482559,0.04358552023768425,2.7533035278320312,0.008447145111858845,0.10188802083333333,0.0,0.0
single,True,0,T1,2048,2,1.928008794784546,0.0,-0.021098751574754715,0.13162627816200256,2.75594425201416,0.009549403563141823,0.15999348958333334,0.0,0.0
single,True,0,T1,3072,3,2.555546283721924,0.0,-0.008290624246001244,0.10099661350250244,2.756873846054077,0.00864588562399149,0.07194010416666667,0.0,0.0
single,True,0,T1,4096,4,3.3955202102661133,0.0,-0.005571089684963226,0.14224773645401,2.756164312362671,0.0073019349947571754,0.08805338541666667,0.0,0.0
single,True,0,T1,5120,5,6.830046653747559,0.0,-0.002343110740184784,0.8093948364257812,2.7559242248535156,0.01926669292151928,0.1513671875,0.0,0.0
single,True,0,T1,6144,6,11.60504150390625,0.0,-0.008070023730397224,3.02902889251709,2.749192953109741,0.006107497029006481,0.05322265625,0.0,0.0
single,True,0,T1,7168,7,11.99216365814209,1.0,-0.012919905595481396,2.370455503463745,2.744645833969116,0.0030503415036946535,0.07828776041666667,0.0,0.0
single,True,0,T1,8192,8,9.219547271728516,0.0,-0.008875694125890732,5.080659866333008,2.742889404296875,0.009200554341077805,0.10823567708333333,0.0,0.0
single,True,0,T1,9216,9,14.760538101196289,1.0,-0.01001013070344925,7.630459785461426,2.743138313293457,0.00679212948307395,0.05322265625,0.0,0.0
single,True,0,T1,10240,10,15.39631462097168,1.0,-0.008585043251514435,8.766587257385254,2.7449357509613037,0.0053169624879956245,0.06494140625,0.0,0.0
single,True,0,T1,11264,11,15.983980178833008,1.0,-0.0023925844579935074,10.509185791015625,2.743623733520508,0.002287747338414192,0.037272135416666664,0.0,0.0
single,True,0,T1,12288,12,15.884947776794434,1.0,-0.0038154423236846924,8.087100982666016,2.737830877304077,0.006343496963381767,0.049967447916666664,0.0,0.0
single,True,0,T1,13312,13,25.52028465270996,0.0,-0.003991775214672089,7.463588237762451,2.736599922180176,0.006313378922641277,0.049967447916666664,0.0,0.0
single,True,0,T1,14336,14,33.45941162109375,1.0,-0.006152065470814705,10.749695777893066,2.739063024520874,0.009845181368291378,0.027018229166666668,0.0,0.0
single,True,0,T1,15360,15,20.297922134399414,1.0,-0.009757723659276962,16.21198272705078,2.7388932704925537,0.003601185977458954,0.08219401041666667,0.0,0.0
single,True,0,T1,16384,16,10.181923866271973,1.0,0.009367767721414566,12.00576400756836,2.7373697757720947,0.0139165623113513,0.08577473958333333,0.0,0.0
single,True,0,T1,17408,17,32.74172592163086,0.0,-0.01265095267444849,23.112571716308594,2.735330820083618,0.006145036779344082,0.056315104166666664,0.0,0.0
