method,use_morphology,seed,stage,eval_task,success_rate,return_mean,episode_length_mean
single,False,0,after_T1,T1,1.0,14.950975819915351,19.375
single,False,0,after_T3,T3,1.0,16.84573896218904,24.35
multitask,False,0,after_joint,T1,0.0,10.785624606141186,64.0
multitask,False,0,after_joint,T3,0.0,12.415941196479281,64.0
finetune,False,0,after_T1,T1,1.0,14.950975819915351,19.375
finetune,False,0,after_T3,T1,0.0,-0.13168336123670454,64.0
finetune,False,0,after_T3,T3,1.0,18.379370571558148,31.05
kl,False,0,after_T1,T1,1.0,14.950975819915351,19.375
kl,False,0,after_T3,T1,1.0,15.241701443365088,21.775
kl,False,0,after_T3,T3,0.0,-0.049348859139252466,64.0
reset,False,0,after_reset_T1,T1,1.0,14.950975819915351,19.375
reset,False,0,after_reset_T3,T3,1.0,16.84573896218904,24.35
single,True,0,after_T1,T1,1.0,16.59199914006856,24.975
single,True,0,after_T3,T3,1.0,15.501218693420839,20.625
multitask,True,0,after_joint,T1,1.0,20.943089986210733,40.475
multitask,True,0,after_joint,T3,1.0,16.220113290871886,22.975
finetune,True,0,after_T1,T1,1.0,16.59199914006856,24.975
finetune,True,0,after_T3,T1,0.0,0.04209750852658182,64.0
finetune,True,0,after_T3,T3,1.0,17.245822297558306,26.7
kl,True,0,after_T1,T1,1.0,16.59199914006856,24.975
kl,True,0,after_T3,T1,1.0,16.79046386356329,25.375
kl,True,0,after_T3,T3,1.0,16.27369751233217,23.2
reset,True,0,after_reset_T1,T1,1.0,16.59199914006856,24.975
reset,True,0,after_reset_T3,T3,1.0,15.501218693420839,20.625
