method,use_morphology,stage,eval_task,success_mean,success_std,return_mean,return_std,seeds
finetune,False,after_T1,T1,1.0,0.0,14.950975819915351,0.0,1
finetune,False,after_T3,T1,0.0,0.0,-0.1316833612367045,0.0,1
finetune,False,after_T3,T3,1.0,0.0,18.379370571558148,0.0,1
finetune,True,after_T1,T1,1.0,0.0,16.59199914006856,0.0,1
finetune,True,after_T3,T1,0.0,0.0,0.0420975085265818,0.0,1
finetune,True,after_T3,T3,1.0,0.0,17.245822297558306,0.0,1
kl,False,after_T1,T1,1.0,0.0,14.950975819915351,0.0,1
kl,False,after_T3,T1,1.0,0.0,15.241701443365088,0.0,1
kl,False,after_T3,T3,0.0,0.0,-0.0493488591392524,0.0,1
kl,True,after_T1,T1,1.0,0.0,16.59199914006856,0.0,1
kl,True,after_T3,T1,1.0,0.0,16.79046386356329,0.0,1
kl,True,after_T3,T3,1.0,0.0,16.27369751233217,0.0,1
multitask,False,after_joint,T1,0.0,0.0,10.785624606141186,0.0,1
multitask,False,after_joint,T3,0.0,0.0,12.41594119647928,0.0,1
multitask,True,after_joint,T1,1.0,0.0,20.943089986210733,0.0,1
multitask,True,after_joint,T3,1.0,0.0,16.220113290871886,0.0,1
reset,False,after_reset_T1,T1,1.0,0.0,14.950975819915351,0.0,1
reset,False,after_reset_T3,T3,1.0,0.0,16.84573896218904,0.0,1
reset,True,after_reset_T1,T1,1.0,0.0,16.59199914006856,0.0,1
reset,True,after_reset_T3,T3,1.0,0.0,15.50121869342084,0.0,1
single,False,after_T1,T1,1.0,0.0,14.950975819915351,0.0,1
single,False,after_T3,T3,1.0,0.0,16.84573896218904,0.0,1
single,True,after_T1,T1,1.0,0.0,16.59199914006856,0.0,1
single,True,after_T3,T3,1.0,0.0,15.50121869342084,0.0,1
