method,use_morphology,seed,task,global_step,update,episodic_return,episodic_success,policy_loss,value_loss,entropy,approx_kl,clipfrac,distill_kl,distill_std_kl
single,False,0,T1,1024,1,25.78459358215332,1.0,-0.013391975313425064,13.430244445800781,2.7564547061920166,0.006881526671350002,0.10791015625,0.0,0.0
single,False,0,T1,2048,2,21.377805709838867,1.0,-0.010940540581941605,14.466044425964355,2.7549993991851807,0.006459956057369709,0.08349609375,0.0,0.0
single,False,0,T1,3072,3,19.269548416137695,1.0,-0.013078209012746811,16.93915557861328,2.755754232406616,0.0030123337637633085,0.08317057291666667,0.0,0.0
single,False,0,T1,4096,4,23.25687026977539,1.0,-0.007448647171258926,16.517364501953125,2.756985664367676,0.002615508623421192,0.07063802083333333,0.0,0.0
single,False,0,T1,5120,5,19.305082321166992,1.0,-0.005582164973020554,15.368816375732422,2.756091833114624,0.007951432839035988,0.062337239583333336,0.0,0.0
single,False,0,T1,6144,6,18.449783325195312,1.0,-0.004631394520401955,14.068913459777832,2.7540838718414307,0.0052687604911625385,0.083984375,0.0,0.0
single,False,0,T1,7168,7,18.973247528076172,1.0,-0.010674985125660896,11.630362510681152,2.7491910457611084,0.007378850132226944,0.043131510416666664,0.0,0.0
single,False,0,T1,8192,8,18.718177795410156,1.0,-0.00749043095856905,13.042694091796875,2.7453413009643555,0.005533071234822273,0.07666015625,0.0,0.0
single,False,0,T1,9216,9,18.779024124145508,1.0,-0.016969501972198486,11.71535587310791,2.742511749267578,0.014051582664251328,0.057454427083333336,0.0,0.0
single,False,0,T1,10240,10,19.776960372924805,1.0,-0.011339738965034485,10.741066932678223,2.740384101867676,0.006133297458291054,0.0625,0.0,0.0
single,False,0,T1,11264,11,20.155149459838867,1.0,-0.008694346994161606,9.988389015197754,2.738239049911499,0.004431148059666157,0.0478515625,0.0,0.0
single,False,0,T1,12288,12,22.049243927001953,1.0,0.0008400864899158478,11.192400932312012,2.73557448387146,0.0038986012805253267,0.006673177083333333,0.0,0.0
single,False,0,T1,13312,13,16.616634368896484,1.0,-0.006934098433703184,10.047789573669434,2.7354586124420166,0.012561526149511337,0.029459635416666668,0.0,0.0
single,False,0,T1,14336,14,16.864601135253906,1.0,0.0013656020164489746,10.384395599365234,2.736208200454712,0.009376810863614082,0.022298177083333332,0.0,0.0
single,False,0,T1,15360,15,15.606844902038574,1.0,-0.015630150213837624,9.905243873596191,2.736398696899414,0.011257516220211983,0.0234375,0.0,0.0
single,False,0,T1,16384,16,17.437213897705078,1.0,-0.005971584469079971,9.566621780395508,2.7359468936920166,0.005759520456194878,0.0419921875,0.0,0.0
single,False,0,T1,17408,17,16.29018783569336,1.0,-0.003921593073755503,9.224468231201172,2.735536575317383,0.0009979887399822474,0.0,0.0,0.0
single,False,0,T1,18432,18,16.212993621826172,1.0,-0.004537476226687431,8.681560516357422,2.7358033657073975,0.0071436576545238495,0.027018229166666668,0.0,0.0
single,False,0,T1,19456,19,15.814216613769531,1.0,-0.007567357271909714,8.129219055175781,2.7360265254974365,0.005365164950489998,0.009602864583333334,0.0,0.0
single,False,0,T1,20480,20,16.343738555908203,1.0,0.00453365221619606,7.596994400024414,2.736034393310547,0.0035750812385231256,0.0032552083333333335,0.0,0.0
single,False,0,T1,21504,21,15.002309799194336,1.0,-0.01013171300292015,7.947236061096191,2.7362802028656006,0.002603266155347228,0.00016276041666666666,0.0,0.0
single,False,0,T1,22528,22,15.636014938354492,1.0,0.0026811938732862473,7.56109619140625,2.7366085052490234,0.004170206841081381,0.0126953125,0.0,0.0
single,False,0,T1,23552,23,16.32515525817871,1.0,-0.0024967908393591642,6.884181022644043,2.7364578247070312,0.0003765411674976349,0.0,0.0,0.0
single,False,0,T1,24576,24,15.716097831726074,1.0,-0.003983084112405777,6.830901145935059,2.736504554748535,0.0028096854221075773,0.0011393229166666667,0.0,0.0
single,False,0,T1,25600,25,15.472012519836426,1.0,0.0007658470422029495,6.948977947235107,2.736726999282837,0.00032521248795092106,0.0,0.0,0.0
single,False,0,T1,26624,26,16.18638038635254,1.0,0.0026581361889839172,5.950956344604492,2.736837148666382,0.0004909026902168989,0.0,0.0,0.0
single,False,0,T1,27648,27,16.8377685546875,1.0,0.0010062754154205322,6.695448875427246,2.736847162246704,0.0002800598740577698,0.0,0.0,0.0
single,False,0,T1,28672,28,15.481709480285645,1.0,0.0001836959272623062,6.850057125091553,2.7368643283843994,8.953316137194633e-05,0.0,0.0,0.0
single,False,0,T1,29696,29,15.930320739746094,1.0,6.268732249736786e-05,5.763221740722656,2.7369120121002197,0.00018074549734592438,0.0,0.0,0.0
single,False,0,T3,1024,1,0.35534387826919556,0.0,-0.02778838388621807,0.0069239637814462185,2.7619078159332275,0.017088038846850395,0.23404947916666666,0.0,0.0
single,False,0,T3,2048,2,0.7534270286560059,0.0,-0.03723644092679024,0.012882607989013195,2.7673282623291016,0.01177046075463295,0.18196614583333334,0.0,0.0
single,False,0,T3,3072,3,1.0475257635116577,0.0,-0.016947263851761818,0.05796334519982338,2.7685012817382812,0.00452361349016428,0.22607421875,0.0,0.0
single,False,0,T3,4096,4,2.106876850128174,0.0,-0.015251404605805874,0.04237831011414528,2.772359609603882,0.00894930586218834,0.21956380208333334,0.0,0.0
single,False,0,T3,5120,5,2.2988486289978027,0.0,-0.025934290140867233,0.19579638540744781,2.7740118503570557,0.009743082337081432,0.19645182291666666,0.0,0.0
single,False,0,T3,6144,6,5.624080657958984,0.0,-0.01959945634007454,1.8602142333984375,2.7699968814849854,0.004413872957229614,0.13020833333333334,0.0,0.0
single,False,0,T3,7168,7,7.203604698181152,0.0,-0.005132608115673065,3.056900978088379,2.7648427486419678,0.009357200935482979,0.11848958333333333,0.0,0.0
single,False,0,T3,8192,8,22.287691116333008,0.0,-0.00747401500120759,11.37211799621582,2.7623462677001953,0.019552620127797127,0.08528645833333333,0.0,0.0
single,False,0,T3,9216,9,23.063953399658203,1.0,-0.005627075210213661,12.301359176635742,2.757812261581421,0.016491208225488663,0.09977213541666667,0.0,0.0
single,False,0,T3,10240,10,16.831459045410156,1.0,-0.009312395006418228,16.14410972595215,2.7513411045074463,0.007928450591862202,0.0625,0.0,0.0
single,False,0,T3,11264,11,18.446670532226562,1.0,-0.003093259409070015,15.325864791870117,2.749746561050415,0.013975122012197971,0.146484375,0.0,0.0
single,False,0,T3,12288,12,21.632020950317383,1.0,-0.016899600625038147,14.613706588745117,2.7490193843841553,0.01271850522607565,0.038736979166666664,0.0,0.0
single,False,0,T3,13312,13,18.34026336669922,1.0,-0.011987149715423584,13.089550971984863,2.747758626937866,0.012234176509082317,0.06689453125,0.0,0.0
single,False,0,T3,14336,14,16.240549087524414,1.0,0.0014284467324614525,12.669395446777344,2.747793436050415,0.0027592750266194344,0.023274739583333332,0.0,0.0
single,False,0,T3,15360,15,16.820755004882812,1.0,-0.006254468113183975,12.200356483459473,2.749094247817993,0.015754831954836845,0.048177083333333336,0.0,0.0
single,False,0,T3,16384,16,17.130966186523438,1.0,0.0020380355417728424,11.247987747192383,2.7487142086029053,0.0030790776945650578,0.0006510416666666666,0.0,0.0
single,False,0,T3,17408,17,16.266477584838867,1.0,-0.0119832344353199,11.566572189331055,2.7467916011810303,0.005235852673649788,0.0146484375,0.0,0.0
single,False,0,T3,18432,18,16.279890060424805,1.0,-0.0013765273615717888,10.241363525390625,2.7460978031158447,0.0009104185737669468,0.0,0.0,0.0
single,False,0,T3,19456,19,20.404876708984375,1.0,-0.0010421965271234512,9.969505310058594,2.746307134628296,0.0001141431275755167,0.0,0.0,0.0
single,False,0,T3,20480,20,17.283838272094727,1.0,-0.012363765388727188,9.789201736450195,2.7464685440063477,0.005978289991617203,0.012858072916666666,0.0,0.0
single,False,0,T3,21504,21,17.128572463989258,1.0,-0.011110684834420681,9.170648574829102,2.7467896938323975,0.0028305421583354473,0.0009765625,0.0,0.0
single,False,0,T3,22528,22,18.42905616760254,1.0,-0.0016156146302819252,8.79568099975586,2.7468340396881104,0.0022045632358640432,0.0011393229166666667,0.0,0.0
single,False,0,T3,23552,23,17.157459259033203,1.0,-0.000868847593665123,9.376946449279785,2.747061014175415,0.00033382000401616096,0.0,0.0,0.0
single,False,0,T3,24576,24,16.877103805541992,1.0,-0.0042173899710178375,9.107629776000977,2.747129201889038,0.001170865260064602,0.0,0.0,0.0
single,False,0,T3,25600,25,16.826358795166016,1.0,-9.875977411866188e-05,8.311773300170898,2.747335433959961,0.00038867793045938015,0.0,0.0,0.0
single,False,0,T3,26624,26,15.253235816955566,1.0,-0.003985311836004257,7.616720676422119,2.747467041015625,0.000346924876794219,0.0,0.0,0.0
single,False,0,T3,27648,27,16.650558471679688,1.0,0.00016826298087835312,7.407670021057129,2.7476155757904053,0.00024103722535073757,0.0,0.0,0.0
single,False,0,T3,28672,28,16.894561767578125,1.0,-0.0003160731866955757,7.616919994354248,2.74765944480896,2.8292881324887276e-05,0.0,0.0,0.0
single,False,0,T3,29696,29,19.282947540283203,1.0,3.9342790842056274e-05,7.801314353942871,2.7476766109466553,9.683892130851746e-06,0.0,0.0,0.0
multitask,False,0,joint,1024,1,27.248756408691406,1.0,-0.004035620950162411,3.916771650314331,2.7515134811401367,0.004570816643536091,0.0546875,0.0,0.0
multitask,False,0,joint,2048,2,2.0478925704956055,0.0,-0.007582709193229675,4.257815837860107,2.750688314437866,0.0020812894217669964,0.049479166666666664,0.0,0.0
multitask,False,0,joint,3072,3,3.242696762084961,0.0,-0.005571451969444752,11.786809921264648,2.7481744289398193,0.007269364316016436,0.046549479166666664,0.0,0.0
multitask,False,0,joint,4096,4,2.272444009780884,0.0,-0.0026994962245225906,5.177298069000244,2.747911214828491,0.0026246553752571344,0.03564453125,0.0,0.0
multitask,False,0,joint,5120,5,15.269780158996582,0.0,-0.007080966606736183,7.233906269073486,2.7425081729888916,0.003689152654260397,0.027669270833333332,0.0,0.0
multitask,False,0,joint,6144,6,1.2494239807128906,0.0,-0.001504942774772644,5.822422027587891,2.742420196533203,0.002764544915407896,0.0205078125,0.0,0.0
multitask,False,0,joint,7168,7,12.102736473083496,0.5,-0.004938274621963501,5.437760829925537,2.7401540279388428,0.004172489978373051,0.032389322916666664,0.0,0.0
multitask,False,0,joint,8192,8,1.2333778142929077,0.0,-0.007246505469083786,3.1059203147888184,2.7372915744781494,0.0019513035658746958,0.021484375,0.0,0.0
multitask,False,0,joint,9216,9,25.7203369140625,1.0,0.0030498169362545013,5.5576019287109375,2.73709774017334,0.005555265583097935,0.02880859375,0.0,0.0
multitask,False,0,joint,10240,10,13.945050239562988,0.5,-0.01029193215072155,6.950278282165527,2.7354869842529297,0.007555792108178139,0.010904947916666666,0.0,0.0
multitask,False,0,joint,11264,11,23.56511688232422,1.0,-0.003226064145565033,9.023523330688477,2.734983444213867,0.0037923764903098345,0.024739583333333332,0.0,0.0
multitask,False,0,joint,12288,12,27.373788833618164,1.0,-0.004612261429429054,6.142379283905029,2.73274827003479,0.003780882805585861,0.02783203125,0.0,0.0
multitask,False,0,joint,13312,13,19.129732131958008,1.0,0.0013150377199053764,6.009622573852539,2.7306079864501953,0.004765375051647425,0.0185546875,0.0,0.0
multitask,False,0,joint,14336,14,23.72980499267578,1.0,-0.0019133994355797768,6.401185989379883,2.732046365737915,0.003263860708102584,0.027506510416666668,0.0,0.0
multitask,False,0,joint,15360,15,6.146392822265625,0.0,-0.015942487865686417,6.351016998291016,2.731410026550293,0.004038424231112003,0.042154947916666664,0.0,0.0
multitask,False,0,joint,16384,16,21.809598922729492,1.0,3.833509981632233e-05,4.600404739379883,2.7299134731292725,0.003182027256116271,0.01025390625,0.0,0.0
multitask,False,0,joint,17408,17,0.680472731590271,0.0,0.001310635358095169,3.9622645378112793,2.730959892272949,0.005008939187973738,0.04833984375,0.0,0.0
multitask,False,0,joint,18432,18,0.5821442008018494,0.0,-0.004313237499445677,8.419050216674805,2.7322072982788086,0.004656447097659111,0.052083333333333336,0.0,0.0
multitask,False,0,joint,19456,19,2.8690683841705322,0.0,-0.011080564931035042,5.87205171585083,2.731368064880371,0.008857491426169872,0.038411458333333336,0.0,0.0
multitask,False,0,joint,20480,20,18.822059631347656,1.0,0.003316778689622879,6.118434429168701,2.729606866836548,0.0040387799963355064,0.0185546875,0.0,0.0
multitask,False,0,joint,21504,21,0.9429253339767456,0.0,-0.011963780038058758,1.9803056716918945,2.730567693710327,0.0027627996169030666,0.045735677083333336,0.0,0.0
multitask,False,0,joint,22528,22,21.75357437133789,1.0,0.0056598857045173645,6.167696952819824,2.730417490005493,0.007141295820474625,0.0185546875,0.0,0.0
multitask,False,0,joint,23552,23,1.8697861433029175,0.0,0.0031762979924678802,3.070963144302368,2.7276668548583984,0.002781798131763935,0.033040364583333336,0.0,0.0
multitask,False,0,joint,24576,24,0.7490518689155579,0.0,-0.003163447603583336,4.527653217315674,2.726552963256836,0.00432725390419364,0.031087239583333332,0.0,0.0
multitask,False,0,joint,25600,25,0.6333096623420715,0.0,-0.004478217102587223,6.537803649902344,2.725034475326538,0.007103648968040943,0.052408854166666664,0.0,0.0
multitask,False,0,joint,26624,26,23.828968048095703,1.0,0.006879687309265137,4.798685073852539,2.721794366836548,0.00643019238486886,0.03662109375,0.0,0.0
multitask,False,0,joint,27648,27,19.10523796081543,1.0,-0.003034474328160286,5.026582717895508,2.7215006351470947,0.002591280499473214,0.0244140625,0.0,0.0
multitask,False,0,joint,28672,28,1.297956943511963,0.0,-0.01083439588546753,3.0247154235839844,2.7144200801849365,0.0023768714163452387,0.033528645833333336,0.0,0.0
multitask,False,0,joint,29696,29,3.260648250579834,0.0,-0.001643558032810688,3.5450944900512695,2.7089853286743164,0.011000138707458973,0.08805338541666667,0.0,0.0
multitask,False,0,joint,30720,30,1.2433403730392456,0.0,-0.0190743375569582,2.9073679447174072,2.708540201187134,0.007158175576478243,0.12662760416666666,0.0,0.0
multitask,False,0,joint,31744,31,21.41719627380371,1.0,-0.007812895812094212,4.9482340812683105,2.7096197605133057,0.006523779593408108,0.06770833333333333,0.0,0.0
multitask,False,0,joint,32768,32,1.6712636947631836,0.0,-0.0012832693755626678,3.916682481765747,2.709760904312134,0.004219063092023134,0.08642578125,0.0,0.0
multitask,False,0,joint,33792,33,4.130588054656982,0.0,0.003916099667549133,5.28788948059082,2.709787130355835,0.006664598826318979,0.027669270833333332,0.0,0.0
multitask,False,0,joint,34816,34,20.419830322265625,1.0,-0.01058842334896326,4.545889377593994,2.710373878479004,0.004755252040922642,0.04931640625,0.0,0.0
multitask,False,0,joint,35840,35,3.606228828430176,0.0,-0.001749889925122261,4.4878339767456055,2.7102346420288086,0.006790682673454285,0.01708984375,0.0,0.0
multitask,False,0,joint,36864,36,22.162311553955078,1.0,-0.004040822386741638,6.221057891845703,2.7098119258880615,0.001751414965838194,0.0003255208333333333,0.0,0.0
multitask,False,0,joint,37888,37,24.325843811035156,1.0,-0.01122627779841423,4.093324184417725,2.709876775741577,0.006091425195336342,0.06998697916666667,0.0,0.0
multitask,False,0,joint,38912,38,2.9029476642608643,0.0,-0.015637315809726715,4.16569709777832,2.711418390274048,0.006807391531765461,0.044270833333333336,0.0,0.0
multitask,False,0,joint,39936,39,6.732761383056641,0.0,-0.004974819719791412,4.516857624053955,2.7123451232910156,0.003607966238632798,0.00244140625,0.0,0.0
